,Unnamed: 0,Tanggal,Pembukaan,Bulan,Tahun,Pembukaan_log,Pembukaan_filled
0,0,2022-01-03,177.83,1,2022,0.2402807678493827,0.2402807678493827
1,1,2022-01-04,182.63,1,2022,0.4190146830717383,0.4190146830717383
2,2,2022-01-05,179.61,1,2022,0.3074215790625559,0.3074215790625559
3,3,2022-01-06,172.7,1,2022,0.040831503375221,0.040831503375221
4,4,2022-01-07,172.89,1,2022,0.0483811700708459,0.0483811700708459
5,5,2022-01-08,172.79499999999996,1,2022,0.0446079392546173,0.0446079392546173
6,6,2022-01-09,172.89,1,2022,0.0483811700708459,0.0483811700708459
7,7,2022-01-10,169.08,1,2022,-0.1055039556086769,-0.1055039556086769
8,8,2022-01-11,172.32,1,2022,0.0256936195433821,0.0256936195433821
9,9,2022-01-12,176.12,1,2022,0.1747954107282157,0.1747954107282157
10,10,2022-01-13,175.78,1,2022,0.1616577823673943,0.1616577823673943
11,11,2022-01-14,171.34,1,2022,-0.0135852119488329,-0.0135852119488329
12,12,2022-01-15,173.56,1,2022,0.0749017473208267,0.0749017473208267
13,13,2022-01-16,171.34,1,2022,-0.0135852119488329,-0.0135852119488329
14,14,2022-01-17,172.45,1,2022,0.0308781661082251,0.0308781661082251
15,15,2022-01-18,171.51,1,2022,-0.0067466968997263,-0.0067466968997263
16,16,2022-01-19,170.0,1,2022,-0.0678580196042837,-0.0678580196042837
17,17,2022-01-20,166.98,1,2022,-0.1926320241297873,-0.1926320241297873
18,18,2022-01-21,164.41,1,2022,-0.3015906603440538,-0.3015906603440538
19,19,2022-01-22,165.695,1,2022,-0.2467851773971692,-0.2467851773971692
20,20,2022-01-23,164.41,1,2022,-0.3015906603440538,-0.3015906603440538
21,21,2022-01-24,160.02,1,2022,-0.4939263788759594,-0.4939263788759594
22,22,2022-01-25,158.98,1,2022,-0.540688652459682,-0.540688652459682
23,23,2022-01-26,163.5,1,2022,-0.3408039730438061,-0.3408039730438061
24,24,2022-01-27,162.45,1,2022,-0.3864709086699419,-0.3864709086699419
25,25,2022-01-28,165.71,1,2022,-0.2461493014678773,-0.2461493014678773
26,26,2022-01-29,164.07999999999998,1,2022,-0.315772065524989,-0.315772065524989
27,27,2022-01-30,165.71,1,2022,-0.2461493014678773,-0.2461493014678773
28,28,2022-01-31,170.16,1,2022,-0.0613430020706249,-0.0613430020706249
29,29,2022-02-01,174.01,2,2022,0.0926254844668739,0.0926254844668739
30,30,2022-02-02,174.75,2,2022,0.1216177929857539,0.1216177929857539
31,31,2022-02-03,174.48,2,2022,0.1110615244322102,0.1110615244322102
32,32,2022-02-04,171.68,2,2022,8.135851018005436e-05,8.135851018005436e-05
33,33,2022-02-05,173.08000000000004,2,2022,0.05591803438088,0.05591803438088
34,34,2022-02-06,171.68,2,2022,8.135851018005436e-05,8.135851018005436e-05
35,35,2022-02-07,172.86,2,2022,0.0471899694794629,0.0471899694794629
36,36,2022-02-08,171.73,2,2022,0.0020876233383317,0.0020876233383317
37,37,2022-02-09,176.05,2,2022,0.1720938086713281,0.1720938086713281
38,38,2022-02-10,174.14,2,2022,0.0977325022649663,0.0977325022649663
39,39,2022-02-11,172.33,2,2022,0.0260926452433166,0.0260926452433166
40,40,2022-02-12,173.235,2,2022,0.062057071635778,0.062057071635778
41,41,2022-02-13,172.33,2,2022,0.0260926452433166,0.0260926452433166
42,42,2022-02-14,167.37,2,2022,-0.1763235397194018,-0.1763235397194018
43,43,2022-02-15,170.97,2,2022,-0.0285053221547754,-0.0285053221547754
44,44,2022-02-16,171.85,2,2022,0.0068989805528229,0.0068989805528229
45,45,2022-02-17,171.03,2,2022,-0.0260824590763076,-0.0260824590763076
46,46,2022-02-18,169.82,2,2022,-0.07519874178627,-0.07519874178627
47,47,2022-02-19,170.42499999999998,2,2022,-0.050573287314858,-0.050573287314858
48,48,2022-02-20,169.82,2,2022,-0.07519874178627,-0.07519874178627
49,49,2022-02-21,170.1225,2,2022,-0.0628691103310782,-0.0628691103310782
50,50,2022-02-22,164.98,2,2022,-0.2771987288687003,-0.2771987288687003
51,51,2022-02-23,165.54,2,2022,-0.2533611037121949,-0.2533611037121949
52,52,2022-02-24,152.58,2,2022,-0.8392118905273952,-0.8392118905273952
53,53,2022-02-25,163.84,2,2022,-0.3261135028094484,-0.3261135028094484
54,54,2022-02-26,158.21,2,2022,-0.5756160447131432,-0.5756160447131432
55,55,2022-02-27,163.84,2,2022,-0.3261135028094484,-0.3261135028094484
56,56,2022-02-28,163.06,2,2022,-0.3598853288645206,-0.3598853288645206
57,57,2022-03-01,164.69,3,2022,-0.2895923715195452,-0.2895923715195452
58,58,2022-03-02,164.39,3,2022,-0.3024488881299649,-0.3024488881299649
59,59,2022-03-03,168.47,3,2022,-0.130639701294383,-0.130639701294383
60,60,2022-03-04,164.49,3,2022,-0.2981593603967614,-0.2981593603967614
61,61,2022-03-05,166.48000000000002,3,2022,-0.213626575847761,-0.213626575847761
62,62,2022-03-06,164.49,3,2022,-0.2981593603967614,-0.2981593603967614
63,63,2022-03-07,163.36,3,2022,-0.3468667062956789,-0.3468667062956789
64,64,2022-03-08,158.82,3,2022,-0.5479247741104089,-0.5479247741104089
65,65,2022-03-09,161.47,3,2022,-0.4295064170151255,-0.4295064170151255
66,66,2022-03-10,160.2,3,2022,-0.4858805113741081,-0.4858805113741081
67,67,2022-03-11,158.93,3,2022,-0.5429487325136012,-0.5429487325136012
68,68,2022-03-12,159.565,3,2022,-0.5143269803434936,-0.5143269803434936
69,69,2022-03-13,158.93,3,2022,-0.5429487325136012,-0.5429487325136012
70,70,2022-03-14,151.45,3,2022,-0.8939334483083516,-0.8939334483083516
71,71,2022-03-15,150.9,3,2022,-0.9207963650153262,-0.9207963650153262
72,72,2022-03-16,157.05,3,2022,-0.6287322316728735,-0.6287322316728735
73,73,2022-03-17,158.61,3,2022,-0.5574392780975754,-0.5574392780975754
74,74,2022-03-18,160.51,3,2022,-0.4720564014684512,-0.4720564014684512
75,75,2022-03-19,159.56,3,2022,-0.5145516614905524,-0.5145516614905524
76,76,2022-03-20,160.51,3,2022,-0.4720564014684512,-0.4720564014684512
77,77,2022-03-21,163.51,3,2022,-0.3403712273542471,-0.3403712273542471
78,78,2022-03-22,165.51,3,2022,-0.2546349617864764,-0.2546349617864764
79,79,2022-03-23,167.99,3,2022,-0.1505176615039833,-0.1505176615039833
80,80,2022-03-24,171.06,3,2022,-0.0248715196972526,-0.0248715196972526
81,81,2022-03-25,173.88,3,2022,0.087512570757152,0.087512570757152
82,82,2022-03-26,172.47000000000003,3,2022,0.0316752529605816,0.0316752529605816
83,83,2022-03-27,173.88,3,2022,0.087512570757152,0.087512570757152
84,84,2022-03-28,172.17,3,2022,0.0197039396286797,0.0197039396286797
85,85,2022-03-29,176.69,3,2022,0.1967326019082072,0.1967326019082072
86,86,2022-03-30,178.55,3,2022,0.2675633523603896,0.2675633523603896
87,87,2022-03-31,177.84,3,2022,0.2406608606342743,0.2406608606342743
88,88,2022-04-01,174.03,4,2022,0.0934115629903923,0.0934115629903923
89,89,2022-04-02,175.935,4,2022,0.1676518587500184,0.1676518587500184
90,90,2022-04-03,174.03,4,2022,0.0934115629903923,0.0934115629903923
91,91,2022-04-04,174.57,4,2022,0.1145830822887592,0.1145830822887592
92,92,2022-04-05,177.5,4,2022,0.2277191558827512,0.2277191558827512
93,93,2022-04-06,172.36,4,2022,0.0272895078227022,0.0272895078227022
94,94,2022-04-07,171.16,4,2022,-0.0208374225347121,-0.0208374225347121
95,95,2022-04-08,171.78,4,2022,0.0040929862935847,0.0040929862935847
96,96,2022-04-09,171.46999999999997,4,2022,-0.0083548172834824,-0.0083548172834824
97,97,2022-04-10,171.78,4,2022,0.0040929862935847,0.0040929862935847
98,98,2022-04-11,168.71,4,2022,-0.1207334833469375,-0.1207334833469375
99,99,2022-04-12,168.02,4,2022,-0.1492727205564181,-0.1492727205564181
100,100,2022-04-13,167.39,4,2022,-0.1754887889859087,-0.1754887889859087
101,101,2022-04-14,170.62,4,2022,-0.0426649045777931,-0.0426649045777931
102,102,2022-04-15,169.005,4,2022,-0.1085868613012342,-0.1085868613012342
103,103,2022-04-16,170.62,4,2022,-0.0426649045777931,-0.0426649045777931
104,104,2022-04-17,169.8125,4,2022,-0.0755048659427678,-0.0755048659427678
105,105,2022-04-18,163.92,4,2022,-0.3226637598017945,-0.3226637598017945
106,106,2022-04-19,165.02,4,2022,-0.2754919003403971,-0.2754919003403971
107,107,2022-04-20,168.76,4,2022,-0.1186724264652059,-0.1186724264652059
108,108,2022-04-21,168.91,4,2022,-0.1124949092416619,-0.1124949092416619
109,109,2022-04-22,166.46,4,2022,-0.2144683826934993,-0.2144683826934993
110,110,2022-04-23,167.685,4,2022,-0.1631940773500695,-0.1631940773500695
111,111,2022-04-24,166.46,4,2022,-0.2144683826934993,-0.2144683826934993
112,112,2022-04-25,161.12,4,2022,-0.4449740939923697,-0.4449740939923697
113,113,2022-04-26,162.25,4,2022,-0.3952210660417462,-0.3952210660417462
114,114,2022-04-27,155.91,4,2022,-0.681525912737107,-0.681525912737107
115,115,2022-04-28,159.25,4,2022,-0.5285031528052546,-0.5285031528052546
116,116,2022-04-29,161.84,4,2022,-0.4132110511784479,-0.4132110511784479
